bfs	Graph	64KB		128KB		256KB		512KB		1MB
		t(ms)	e(uJ)	t(ms)	e(uJ)	t(ms)	e(uJ)	t(ms)	e(uJ)	t(ms)	e(uJ)
	am	0.32	76.10	0.64	82.58	1.23	88.12	2.14	93.68	3.40	98.62
	tw	0.48	24.61	0.71	25.27	1.02	25.78	1.13	26.40	1.18	27.52
	wiki	8.86	1061.37	11.46	1083.06	16.27	1098.74	22.89	1109.53	28.34	1122.54
	pokec	0.86	721.82	1.84	853.42	4.07	953.95	8.71	1023.63	16.99	1085.35
	lj	3.97	1553.71	6.56	1645.58	8.45	1713.35	11.05	1765.07	14.80	1809.49
	u	0.16	452.03	0.53	826.66	1.80	1401.33	5.25	2011.00	12.92	2498.60
	g	3.29	2749.05	5.38	2780.00	9.18	2805.32	15.64	2821.87	25.37	2845.04

sssp	Graph	64KB		128KB		256KB		512KB		1MB
		t(ms)	e(uJ)	t(ms)	e(uJ)	t(ms)	e(uJ)	t(ms)	e(uJ)	t(ms)	e(uJ)
	am	1.28	321.13	2.54	345.11	4.85	366.58	8.52	389.24	13.69	412.09
	tw	2.08	115.31	3.14	118.91	4.49	121.84	4.99	124.61	5.19	129.88
	wiki	40.68	5093.59	52.68	5212.73	75.14	5300.00	106.46	5359.35	132.61	5431.83
	pokec	6.66	5422.35	14.53	6556.32	33.09	7591.24	70.84	8220.81	132.65	8507.27
	lj	11.68	5764.18	19.54	6107.59	25.23	6355.26	33.02	6539.93	45.05	6708.47
	u	0.75	2456.79	2.55	4269.07	8.64	7059.71	25.29	10030.40	62.31	12404.20
	g	7.04	5477.97	11.20	5544.61	18.55	5598.00	30.63	5632.64	49.24	5684.80

pr	Graph	64KB		128KB		256KB		512KB		1MB
		t(ms)	e(uJ)	t(ms)	e(uJ)	t(ms)	e(uJ)	t(ms)	e(uJ)	t(ms)	e(uJ)
	am	2.06	1479.15	4.00	1569.49	7.52	1648.59	13.24	1704.17	19.91	1799.03
	tw	2.59	719.56	4.17	762.16	6.15	799.04	7.01	823.52	6.89	866.59
	wiki	51.63	12787.60	70.07	13545.20	101.18	14193.80	146.78	14628.00	173.94	15381.90
	pokec	6.07	13162.50	13.67	14168.00	29.78	14991.70	62.93	15526.40	109.74	16330.50
	lj	20.16	32952.40	36.08	34971.50	47.44	36695.00	63.26	37857.10	82.95	39838.90
	u	0.70	26243.50	2.85	28408.90	10.58	30787.70	32.90	32850.30	78.52	35448.30
	g	22.50	28754.20	37.51	30440.50	62.81	31884.00	104.60	32845.40	158.56	34525.10

