Application	Config	ExeTime	Energy	#Process	#Reduce	#Apply	OrigLT	OptLT
bfs	am-1024-0	1.27	90.41	394	7	7	71865594.179249	15127445939.053200
bfs	am-1024-256	1.23	88.12	394	7	7	71874115.337637	14892649682.312002
bfs	am-1024-32	1.25	89.58	394	7	7	71935703.643291	15018439735.445601
bfs	am-2048-256	2.14	93.68	197	4	4	139496909.089297	24875524731.033600
bfs	am-256-0	0.34	78.57	1573	25	25	18484250.713842	4442603135.738400
bfs	am-256-256	0.32	76.10	1573	25	25	.218895787.408757	.24361610080.200800
bfs	am-4096-256	3.40	98.62	99	2	2	.2277087710.003492	.238332574780.081604
bfs	am-512-256	0.64	82.58	787	13	13	.236101108.776221	.28092361293.712001
bfs	g-1024-0	13.29	2808.30	1987	32	32	.2216082591.578233	.229596520187.321602
bfs	g-1024-256	9.18	2805.32	1987	32	32	.2149439228.051084	.220470128075.525200
bfs	g-1024-32	9.30	2807.93	1987	32	32	.2151159819.769778	.220703028115.635201
bfs	g-2048-256	15.64	2821.87	994	16	16	.2267923091.473199	.234844007322.822800
bfs	g-256-0	5.57	2756.87	7947	128	128	.281424742.228788	.212442385182.173201
bfs	g-256-256	3.29	2749.05	7947	128	128	.248158332.536136	.27362621984.116800
bfs	g-4096-256	25.37	2845.04	497	8	8	.2441231914.549920	.256500124536.626404
bfs	g-512-256	5.38	2780.00	3974	64	64	.287214164.757621	.212028599015.811199
bfs	lj-1024-0	8.61	1748.08	5051	82	82	.271956689.760715	.272219602347.365585
bfs	lj-1024-256	8.45	1713.35	5051	82	82	.272418653.725441	.272176004120.903000
bfs	lj-1024-32	8.57	1734.84	5051	82	82	.272262287.017918	.272394985302.158203
bfs	lj-2048-256	11.05	1765.07	2526	41	41	.2153115260.871314	.292700974049.525604
bfs	lj-256-0	4.07	1619.16	20201	328	328	.218318347.445922	.235755487725.360001
bfs	lj-256-256	3.97	1553.71	20201	328	328	.218378680.811455	.236168854736.722397
bfs	lj-4096-256	14.80	1809.49	1263	21	21	.2294647969.763562	.2122581410842.404800
bfs	lj-512-256	6.56	1645.58	10101	164	164	.234748468.850845	.257375823163.298401
bfs	pokec-1024-0	4.37	991.63	1522	25	25	.274101883.431269	.220539125433.393799
bfs	pokec-1024-256	4.07	953.95	1522	25	25	.273035236.206422	.219834734802.290398
bfs	pokec-1024-32	4.26	981.42	1522	25	25	.273134283.731720	.220192797714.003201
bfs	pokec-2048-256	8.71	1023.63	761	13	13	.2140690349.396037	.239881090164.871994
bfs	pokec-256-0	0.95	770.77	6085	100	100	.221053322.662738	.25591789179.046400
