Applicaiton	Config	Miss Rate	Hot Access	Cool Access	Remap Access	Average IPC	Max IPC	Average Time	Max Time
barnes	cache_no-dtm_no-remap	0.035725	1212298.0	5935043.0	0.0	0.7175	0.73	474031583.0	474031583
barnes	cache_no-dtm_remap0	0.236104	0.0	5870558.0	194657.0	0.7125	0.72	476840883.0	476840883
barnes	cache_no-dtm_remap1g	0.2621	0.0	6809988.0	184214.0	0.7125	0.72	476079183.0	476079183
barnes	cache_no-dtm_remap1l	0.261294	0.0	6281977.0	186273.0	0.7125	0.72	476074683.0	476074683
barnes	no_cache_no-dtm_no-remap	1.0	0.0	0.0	0.0	0.7	0.71	485425691.0	485425691
barnes	cache_cpu101_no-remap	0.0356875	1110423.0	6033592.0	0.0	0.6725	0.68	505584261.0	505584261
barnes	cache_cpu101_remap0	0.22532	0.0	5934029.0	192615.0	0.67	0.68	506820628.0	506820628
barnes	cache_cpu101_remap1g	0.246353	0.0	6830941.0	203075.0	0.67	0.68	507014945.0	507014945
barnes	cache_cpu101_remap1l	0.249703	0.0	6340037.0	192584.0	0.67	0.68	506698928.0	506698928
barnes	cache_cpu102_no-remap	0.0356612	1164094.0	5976981.0	0.0	0.6975	0.71	488884291.0	488884291
barnes	cache_cpu102_remap0	0.238589	0.0	5849268.0	175959.0	0.695	0.7	489723628.0	489723628
barnes	cache_cpu102_remap1g	0.252031	0.0	6817606.0	217593.0	0.6925	0.7	489887261.0	489887261
barnes	cache_cpu102_remap1l	0.254073	0.0	6324426.0	225875.0	0.6925	0.7	490609083.0	490609083
barnes	cache_cpu103_no-remap	0.0358727	1221080.0	5925978.0	0.0	0.7175	0.73	474437183.0	474437183
barnes	cache_cpu103_remap0	0.231963	0.0	5895122.0	219619.0	0.7125	0.72	477731528.0	477731528
barnes	cache_cpu103_remap1g	0.265212	0.0	6807973.0	153021.0	0.7125	0.72	477857128.0	477857128
barnes	cache_cpu103_remap1l	0.259541	0.0	6304096.0	207081.0	0.7125	0.72	477555928.0	477555928
barnes	cache_cpu104_no-remap	0.0358717	1222950.0	5924690.0	0.0	0.7175	0.73	475165828.0	475165828
barnes	cache_cpu104_remap0	0.238873	0.0	5849109.0	184057.0	0.7125	0.72	476528628.0	476528628
