Config	Applicaiton	Miss Rate	Hot Access	Cool Access	Remap Access	Average IPC	Max IPC	Average Time	Max Time
cache_no-dtm_no-remap	barnes	0.035725	1212298.0	5935043.0	0.0	0.7175	0.73	474031583.0	474031583
cache_no-dtm_no-remap	cholesky	0.0333159	371810.0	10084976.0	0.0	2.26	2.55	35048055.0	35048055
cache_no-dtm_no-remap	fft	0.0338297	6110921.0	31239980.0	0.0	2.59	2.59	83345953.0	83345953
cache_no-dtm_no-remap	fmm	0.109434	2896618.0	7471551.0	0.0	2.4475	2.47	192025259.0	192025259
cache_no-dtm_no-remap	lu.cont	0.0325242	3283226.0	8696067.0	0.0	2.19	2.24	118579388.0	118579388
cache_no-dtm_no-remap	lu.ncont	0.0319384	5229660.0	16007229.0	0.0	1.9425	1.99	134909866.0	134909866
cache_no-dtm_no-remap	radix	0.0542846	1443.0	1374401.0	0.0	0.4	0.4	39876172.0	39876172
cache_no-dtm_no-remap	raytrace	0.0470279	1616012.0	12838323.0	0.0	0.8875	0.9	210234206.0	210234206
cache_no-dtm_no-remap	water.nsq	0.0804843	743316.0	3538024.0	0.0	1.6025	1.66	292954282.0	292954282
cache_no-dtm_no-remap	water.sp	0.0382012	529340.0	2346073.0	0.0	1.735	1.88	113061096.0	113061096
cache_no-dtm_remap0	barnes	0.236104	0.0	5870558.0	194657.0	0.7125	0.72	476840883.0	476840883
cache_no-dtm_remap0	cholesky	0.0942426	0.0	10082982.0	168089.0	2.19	2.46	36450911.0	36450911
cache_no-dtm_remap0	fft	0.257509	0.0	31526328.0	338077.0	2.37	2.37	90890953.0	90890953
cache_no-dtm_remap0	fmm	0.404145	0.0	7392256.0	449062.0	2.3725	2.39	198086659.0	198086659
cache_no-dtm_remap0	lu.cont	0.299924	0.0	8938339.0	198824.0	2.05	2.1	126886762.0	126886762
cache_no-dtm_remap0	lu.ncont	0.258267	0.0	15526746.0	184021.0	1.8025	1.85	145430029.0	145430029
cache_no-dtm_remap0	radix	0.055466	0.0	1373696.0	2114.0	0.4	0.4	39854175.0	39854175
cache_no-dtm_remap0	raytrace	0.270073	0.0	12863334.0	155890.0	0.8475	0.86	220504458.0	220504458
cache_no-dtm_remap0	water.nsq	0.331704	0.0	3440410.0	516546.0	1.59	1.65	295703614.0	295703614
cache_no-dtm_remap0	water.sp	0.235576	0.0	2336677.0	199122.0	1.69	1.83	115846996.0	115846996
cache_no-dtm_remap1g	barnes	0.2621	0.0	6809988.0	184214.0	0.7125	0.72	476079183.0	476079183
cache_no-dtm_remap1g	cholesky	0.0429986	0.0	10446341.0	165788.0	2.2175	2.52	35754056.0	35754056
cache_no-dtm_remap1g	fft	0.0870778	0.0	37434551.0	343890.0	2.45	2.45	88150553.0	88150553
cache_no-dtm_remap1g	fmm	0.44389	0.0	9840617.0	467646.0	2.3575	2.38	199313463.0	199313463
cache_no-dtm_remap1g	lu.cont	0.0381001	0.0	12108108.0	245341.0	2.16	2.21	120051599.0	120051599
cache_no-dtm_remap1g	lu.ncont	0.150932	0.0	19332211.0	186134.0	1.8325	1.88	143076286.0	143076286
cache_no-dtm_remap1g	radix	0.055187	0.0	1375076.0	2115.0	0.4	0.4	39846572.0	39846572
cache_no-dtm_remap1g	raytrace	0.0990593	0.0	14445038.0	155892.0	0.8675	0.88	215495119.0	215495119
cache_no-dtm_remap1g	water.nsq	0.439089	0.0	3831272.0	510373.0	1.575	1.63	298163714.0	298163714
cache_no-dtm_remap1g	water.sp	0.23155	0.0	2703609.0	182667.0	1.68	1.82	116517496.0	116517496
cache_no-dtm_remap1l	barnes	0.261294	0.0	6281977.0	186273.0	0.7125	0.72	476074683.0	476074683
cache_no-dtm_remap1l	cholesky	0.0675289	0.0	10289968.0	177071.0	2.22	2.52	36427556.0	36427556
cache_no-dtm_remap1l	fft	0.199488	0.0	33614187.0	338684.0	2.4	2.4	89862453.0	89862453
cache_no-dtm_remap1l	fmm	0.413932	0.0	8058073.0	456316.0	2.3675	2.39	198256763.0	198256763
cache_no-dtm_remap1l	lu.cont	0.212868	0.0	10018652.0	202909.0	2.0925	2.14	124055788.0	124055788
cache_no-dtm_remap1l	lu.ncont	0.228242	0.0	16830480.0	183806.0	1.81	1.85	144772029.0	144772029
cache_no-dtm_remap1l	radix	0.0549382	0.0	1374529.0	2116.0	0.4	0.4	39859184.0	39859184
cache_no-dtm_remap1l	raytrace	0.189695	0.0	13782068.0	155750.0	0.8525	0.87	220145619.0	220145619
cache_no-dtm_remap1l	water.nsq	0.356086	0.0	3647633.0	460940.0	1.59	1.65	295883969.0	295883969
cache_no-dtm_remap1l	water.sp	0.221218	0.0	2514868.0	188833.0	1.69	1.83	115996196.0	115996196
no_cache_no-dtm_no-remap	barnes	1.0	0.0	0.0	0.0	0.7	0.71	485425691.0	485425691
no_cache_no-dtm_no-remap	cholesky	1.0	0.0	0.0	0.0	1.75	2.04	48299055.0	48299055
no_cache_no-dtm_no-remap	fft	1.0	0.0	0.0	0.0	1.93	1.93	111982353.0	111982353
no_cache_no-dtm_no-remap	fmm	1.0	0.0	0.0	0.0	2.1975	2.22	214082059.0	214082059
no_cache_no-dtm_no-remap	lu.cont	1.0	0.0	0.0	0.0	1.8675	1.91	139228399.0	139228399
no_cache_no-dtm_no-remap	lu.ncont	1.0	0.0	0.0	0.0	1.5575	1.59	168483029.0	168483029
no_cache_no-dtm_no-remap	radix	1.0	0.0	0.0	0.0	0.38	0.38	42821686.0	42821686
no_cache_no-dtm_no-remap	raytrace	1.0	0.0	0.0	0.0	0.7825	0.8	239109219.0	239109219
no_cache_no-dtm_no-remap	water.nsq	1.0	0.0	0.0	0.0	1.5625	1.62	300647869.0	300647869
no_cache_no-dtm_no-remap	water.sp	1.0	0.0	0.0	0.0	1.55	1.68	126596996.0	126596996
cache_dram80_no-remap	barnes	0.0358056	0.0	7145313.0	0.0	0.405	0.41	840366928.0	840366928
cache_dram80_no-remap	cholesky	0.0333993	0.0	10460805.0	0.0	0.9075	0.95	85862270.0	85862270
cache_dram80_no-remap	fft	0.0338225	0.0	37352649.0	0.0	0.78	0.78	276579653.0	276579653
cache_dram80_no-remap	fmm	0.108967	0.0	10370439.0	0.0	1.0725	1.08	438260859.0	438260859
cache_dram80_no-remap	lu.cont	0.0325379	0.0	11981756.0	0.0	0.77	0.79	336467462.0	336467462
cache_dram80_no-remap	lu.ncont	0.0319169	0.0	20665069.0	0.0	0.54	0.55	486194686.0	486194686
cache_dram80_no-remap	radix	0.0542873	0.0	1373825.0	0.0	0.37	0.37	43315706.0	43315706
cache_dram80_no-remap	raytrace	0.0475347	0.0	14495201.0	0.0	0.48	0.49	387050391.0	387050391
cache_dram80_no-remap	water.nsq	0.0826387	0.0	4287284.0	0.0	0.8025	0.83	584940345.0	584940345
cache_dram80_no-remap	water.sp	0.0391815	0.0	2878060.0	0.0	0.905	0.98	217273028.0	217273028
cache_dram80_remap0	barnes	0.036148	0.0	7146087.0	4204.0	0.4075	0.41	835928728.0	835928728
cache_dram80_remap0	cholesky	0.0332797	0.0	10455459.0	0.0	0.89	0.93	87602256.0	87602256
cache_dram80_remap0	fft	0.0338378	0.0	37349618.0	0.0	0.78	0.78	276844153.0	276844153
cache_dram80_remap0	fmm	0.10932	0.0	10370156.0	0.0	1.0725	1.08	438284764.0	438284764
cache_dram80_remap0	lu.cont	0.0325388	0.0	11985007.0	0.0	0.77	0.79	336467704.0	336467704
cache_dram80_remap0	lu.ncont	0.0318518	0.0	20642469.0	0.0	0.54	0.55	485656586.0	485656586
cache_dram80_remap0	radix	0.0543321	0.0	1375499.0	0.0	0.37	0.37	43360679.0	43360679
cache_dram80_remap0	raytrace	0.0467135	0.0	14540755.0	0.0	0.48	0.49	388169558.0	388169558
cache_dram80_remap0	water.nsq	0.0808546	0.0	4286972.0	0.0	0.8025	0.83	584489545.0	584489545
cache_dram80_remap0	water.sp	0.0436632	0.0	2872199.0	0.0	0.88	0.95	223002134.0	223002134
cache_dram80_remap1g	barnes	0.0359177	0.0	7145965.0	2104.0	0.4075	0.41	835868783.0	835868783
cache_dram80_remap1g	cholesky	0.0332702	0.0	10463903.0	0.0	0.885	0.93	87841455.0	87841455
cache_dram80_remap1g	fft	0.0338475	0.0	37352438.0	0.0	0.78	0.78	275034253.0	275034253
cache_dram80_remap1g	fmm	0.108882	0.0	10372002.0	0.0	1.0725	1.08	438293803.0	438293803
