Config	Hot Access Rate	Average IPC
cache_dram80_no-remap	0.0	0.482319853721
cache_dram81_no-remap	0.0	0.529048559963
cache_dram82_no-remap	0.0	0.580736066968
cache_dram83_no-remap	0.00011798152645	0.627940008902
cache_dram84_no-remap	0.0010467484028	0.673610281053
cache_dram85_no-remap	0.0030505421721	0.710383085935
cache_dram86_no-remap	0.0123364252901	0.747568812522
cache_dram87_no-remap	0.0252974293169	0.782914730062
cache_dram88_no-remap	0.0503916104889	0.814222044998
cache_dram89_no-remap	0.068848630135	0.839604168129
cache_dram90_no-remap	0.0958632616983	0.861597804315
cache_cpu95_no-remap	0.00149854113307	0.743008811619
cache_cpu96_no-remap	0.00157499863726	0.759904786023
cache_cpu97_no-remap	0.00873040380201	0.775778091038
cache_cpu98_no-remap	0.0174372164811	0.79035885223
cache_cpu99_no-remap	0.0352720965862	0.807423475493
cache_cpu100_no-remap	0.0608777110633	0.827924936476
cache_cpu101_no-remap	0.0855471409685	0.845690180187
cache_cpu102_no-remap	0.0976029028399	0.858106627812
cache_cpu103_no-remap	0.106833924014	0.873290434621
cache_cpu104_no-remap	0.116999796724	0.88620631163
cache_cpu105_no-remap	0.126322910919	0.892737425742
