Application	cache_cpu105_no-remap	cache_cpu105_remap0	cache_cpu105_remap1l	cache_cpu105_remap1g	
barnes	0.0358491	0.244455	0.267383	0.267115	
cholesky	0.0333543	0.0800263	0.061295	0.0417399	
fft	0.0338443	0.199054	0.142046	0.0781393	
fmm	0.109636	0.287969	0.300458	0.303574	
lu.cont	0.032547	0.254871	0.159522	0.0356783	
lu.ncont	0.0318788	0.23245	0.190918	0.129069	
radix	0.0542595	0.0551016	0.0548426	0.0551409	
raytrace	0.0473344	0.27173	0.187966	0.0965884	
water.nsq	0.0805415	0.266306	0.311105	0.377032	
water.sp	0.0383642	0.202746	0.199852	0.221935	
