Application	no_cache_no-dtm_no-remap	cache_dram83_no-remap	cache_cpu105_no-remap	cache_cpu105_remap0	cache_cpu105_remap1l	cache_cpu105_remap1g	cache_no-dtm_no-remap	
barnes	0.975609756098	0.721254355401	1.0	0.993031358885	0.993031358885	0.993031358885	1.0	
cholesky	0.774336283186	0.575221238938	0.87610619469	0.865044247788	0.867256637168	0.867256637168	1.0	
fft	0.745173745174	0.486486486486	0.84555984556	0.795366795367	0.799227799228	0.818532818533	1.0	
fmm	0.897854954035	0.572012257406	0.821246169561	0.808988764045	0.805924412666	0.804902962206	1.0	
lu.cont	0.852739726027	0.498858447489	0.841324200913	0.794520547945	0.812785388128	0.835616438356	1.0	
lu.ncont	0.801801801802	0.468468468468	0.854568854569	0.808236808237	0.812097812098	0.81981981982	1.0	
radix	0.95	1.0	1.0	1.0	1.0	1.0	1.0	
raytrace	0.881690140845	0.698591549296	0.991549295775	0.957746478873	0.969014084507	0.969014084507	1.0	
water.nsq	0.97503900156	0.630265210608	0.84399375975	0.842433697348	0.842433697348	0.842433697348	1.0	
water.sp	0.893371757925	0.628242074928	0.853025936599	0.840057636888	0.834293948127	0.837175792507	1.0	
