#IPC_TABLE
Temperature	Remap0	Remap1l	Remap1g
dram85	0.707644066595	0.708736097778	0.711120554803	
dram86	0.743622506075	0.745885195518	0.746439379482	
dram87	0.782335701442	0.778976316206	0.78019676653	
dram88	0.810254842798	0.806138670201	0.808457122237	
dram89	0.834646715633	0.830838848315	0.830526904965	
dram90	0.850252242121	0.849605597936	0.850079353584	
cpu95	0.743492380442	0.742532812009	0.741758473492	
cpu96	0.75847468666	0.75841212329	0.758202218722	
cpu97	0.774416000497	0.774258323263	0.774838227449	
cpu98	0.787805263162	0.790066648354	0.789531026957	
cpu99	0.800904598712	0.804417729945	0.80361368764	
cpu100	0.813723234801	0.81778734143	0.818965384588	
cpu101	0.829070973564	0.833594852324	0.833552117407	
cpu102	0.84232174011	0.847016151598	0.848995127929	
cpu103	0.855344483348	0.858287861869	0.860115515784	
cpu104	0.863750416453	0.864798601548	0.871937700379	
#MISS_TABLE
Temperature	Remap0	Remap1l	Remap1g
dram85	0.06502573	0.06937574	0.07049053	
dram86	0.08117754	0.08636506	0.08962472	
dram87	0.1056661	0.10512555	0.10993134	
dram88	0.13714468	0.12751353	0.13237305	
dram89	0.16785375	0.14636074	0.14646483	
dram90	0.19326716	0.17217928	0.15344121	
cpu95	0.05181267	0.05068416	0.05062556	
cpu96	0.05428224	0.05244718	0.05426392	
cpu97	0.07021091	0.06186108	0.06634188	
cpu98	0.08750937	0.08087193	0.07897863	
cpu99	0.11345215	0.09834873	0.10104045	
cpu100	0.14636539	0.12689564	0.11881786	
cpu101	0.17122183	0.1521246	0.1321367	
cpu102	0.18447499	0.16494105	0.14087899	
cpu103	0.19672236	0.17385623	0.14966852	
cpu104	0.20443762	0.18334299	0.15578201	
