#IPC_TABLE
Temperature	Remap0	Remap1l	Remap1g
dram85	0.594594594595	0.598455598456	0.602316602317	
dram86	0.633204633205	0.65250965251	0.637065637066	
dram87	0.683397683398	0.667953667954	0.679536679537	
dram88	0.706563706564	0.706563706564	0.714285714286	
dram89	0.741312741313	0.72972972973	0.741312741313	
dram90	0.756756756757	0.749034749035	0.764478764479	
cpu95	0.683397683398	0.687258687259	0.679536679537	
cpu96	0.69111969112	0.694980694981	0.69111969112	
cpu97	0.710424710425	0.710424710425	0.710424710425	
cpu98	0.725868725869	0.733590733591	0.725868725869	
cpu99	0.741312741313	0.745173745174	0.745173745174	
cpu100	0.752895752896	0.752895752896	0.752895752896	
cpu101	0.756756756757	0.764478764479	0.764478764479	
cpu102	0.760617760618	0.779922779923	0.776061776062	
cpu103	0.779922779923	0.783783783784	0.787644787645	
cpu104	0.795366795367	0.799227799228	0.814671814672	
#MISS_TABLE
Temperature	Remap0	Remap1l	Remap1g
dram85	0.0376571	0.0346583	0.0346489	
dram86	0.0416475	0.0364632	0.0355594	
dram87	0.0476806	0.0389724	0.0384103	
dram88	0.0786162	0.0575407	0.0487604	
dram89	0.111088	0.0588873	0.0593982	
dram90	0.158124	0.116249	0.0613951	
cpu95	0.0370896	0.0348156	0.0342859	
cpu96	0.036891	0.0351445	0.0344458	
cpu97	0.0376764	0.0350762	0.0344886	
cpu98	0.0469177	0.0405273	0.0373941	
cpu99	0.0667705	0.0467805	0.0439116	
cpu100	0.0878195	0.0556273	0.0454076	
cpu101	0.127783	0.0748487	0.0559095	
cpu102	0.142457	0.102263	0.0608051	
cpu103	0.199404	0.137123	0.0721183	
cpu104	0.201577	0.145163	0.0730568	
